DATUM,HEMMA,BORTA,HS,-,VS,DEC,PERIOD,ARENA,ATT
2016-12-10,Brynäs,Färjestad,6,-,2,Reg,"2-0, 2-1, 2-1",Gavlerinken Arena,6712
2016-12-10,Djurgården,Leksand,3,-,1,Reg,"1-1, 1-0, 1-0",Hovet,8100
2016-12-10,HV71,Linköping,2,-,3,Reg,"2-0, 0-2, 0-1",Kinnarps Arena,7000
2016-12-10,Karlskrona,Luleå,0,-,4,Reg,"0-3, 0-0, 0-1",ABB Arena Karlskrona,4006
2016-12-10,Frölunda,Växjö,8,-,5,Reg,"1-2, 5-2, 2-1",Frölundaborgs Isstadion,4357
2016-12-09,Rögle,Örebro,5,-,0,Reg,"2-0, 0-0, 3-0",Lindab Arena,3251
2016-12-09,Färjestad,Brynäs,3,-,2,OT,"1-2, 1-0, 0-0, 1-0",Löfbergs Arena,5724
2016-12-08,Skellefteå,Luleå,1,-,3,Reg,"1-0, 0-1, 0-2",Skellefteå Kraft Arena,5801
2016-12-08,Leksand,Frölunda,4,-,0,Reg,"1-0, 2-0, 1-0",Tegera Arena,4851
2016-12-08,Växjö,Djurgården,4,-,1,Reg,"1-1, 2-0, 1-0",Vida Arena,4056
2016-12-08,Karlskrona,Linköping,3,-,1,Reg,"2-0, 0-1, 1-0",ABB Arena Karlskrona,3255
2016-12-08,Malmö,HV71,4,-,0,Reg,"1-0, 2-0, 1-0",Malmö Arena,6161
2016-12-06,Rögle,Leksand,2,-,3,Reg,"1-2, 0-1, 1-0",Lindab Arena,3906
2016-12-05,Malmö,Linköping,2,-,3,Reg,"0-0, 1-1, 1-2",Malmö Arena,5325
2016-12-04,Leksand,Rögle,3,-,2,Reg,"0-1, 1-0, 2-1",Tegera Arena,5003
2016-12-03,Luleå,Frölunda,0,-,1,Reg,"0-1, 0-0, 0-0",Coop Norrbotten Arena,4847
2016-12-03,Örebro,HV71,0,-,3,Reg,"0-1, 0-0, 0-2",Behrn Arena,5267
2016-12-03,Skellefteå,Karlskrona,2,-,0,Reg,"1-0, 0-0, 1-0",Skellefteå Kraft Arena,4539
2016-12-03,Brynäs,Växjö,2,-,0,Reg,"0-0, 1-0, 1-0",Gavlerinken Arena,6533
2016-12-03,Färjestad,Djurgården,2,-,1,OT,"1-1, 0-0, 0-0, 1-0",Löfbergs Arena,6070
2016-12-02,Frölunda,Luleå,4,-,0,Reg,"1-0, 0-0, 3-0",Scandinavium,8971
2016-12-01,Örebro,Leksand,4,-,3,Reg,"1-1, 1-1, 2-1",Behrn Arena,5500
2016-12-01,Brynäs,Skellefteå,2,-,3,Reg,"1-1, 1-1, 0-1",Gavlerinken Arena,4910
2016-12-01,Växjö,Rögle,2,-,0,Reg,"0-0, 1-0, 1-0",Vida Arena,4764
2016-12-01,HV71,Djurgården,2,-,1,SO,"1-0, 0-1, 0-0, 0-0, 1-0",Kinnarps Arena,5842
2016-12-01,Karlskrona,Färjestad,4,-,1,Reg,"1-0, 1-1, 2-0",ABB Arena Karlskrona,3383
2016-12-01,Linköping,Malmö,2,-,0,Reg,"0-0, 1-0, 1-0",Saab Arena,4586
2016-11-29,Malmö,HV71,4,-,3,Reg,"1-1, 1-0, 2-2",Malmö Arena,6503
2016-11-29,Luleå,Djurgården,2,-,1,SO,"0-1, 0-0, 1-0, 0-0, 1-0",Coop Norrbotten Arena,4300
2016-11-29,Växjö,Färjestad,2,-,3,SO,"2-0, 0-1, 0-1, 0-0, 0-1",Vida Arena,4408
2016-11-27,Djurgården,Karlskrona,2,-,1,Reg,"0-1, 0-0, 2-0",Hovet,5978
2016-11-27,Leksand,Malmö,1,-,0,SO,"0-0, 0-0, 0-0, 0-0, 1-0",Tegera Arena,5226
2016-11-26,HV71,Luleå,2,-,1,SO,"0-0, 0-1, 1-0, 0-0, 1-0",Kinnarps Arena,6319
2016-11-26,Skellefteå,Örebro,5,-,4,Reg,"1-1, 2-2, 2-1",Skellefteå Kraft Arena,4586
2016-11-26,Rögle,Brynäs,2,-,4,Reg,"0-0, 2-1, 0-3",Lindab Arena,3842
2016-11-26,Färjestad,Växjö,1,-,3,Reg,"0-1, 0-1, 1-1",Löfbergs Arena,5562
2016-11-26,Linköping,Frölunda,3,-,0,Reg,"1-0, 1-0, 1-0",Saab Arena,7070
2016-11-25,Luleå,HV71,2,-,3,Reg,"1-3, 1-0, 0-0",Coop Norrbotten Arena,4595
2016-11-25,Karlskrona,Djurgården,3,-,7,Reg,"1-3, 1-1, 1-3",ABB Arena Karlskrona,3899
2016-11-24,Skellefteå,Leksand,4,-,1,Reg,"2-0, 1-1, 1-0",Skellefteå Kraft Arena,4085
2016-11-24,Örebro,Färjestad,3,-,1,Reg,"1-0, 0-0, 2-1",Behrn Arena,5500
2016-11-24,Rögle,Frölunda,2,-,4,Reg,"0-1, 1-1, 1-2",Lindab Arena,3541
2016-11-24,Växjö,Linköping,4,-,1,Reg,"1-1, 1-0, 2-0",Vida Arena,4230
2016-11-24,Malmö,Brynäs,2,-,1,Reg,"0-0, 0-1, 2-0",Malmö Arena,6170
2016-11-23,HV71,Karlskrona,2,-,0,Reg,"0-0, 1-0, 1-0",Kinnarps Arena,6572
2016-11-22,Leksand,Växjö,3,-,1,Reg,"0-0, 1-1, 2-0",Tegera Arena,4051
2016-11-22,Brynäs,Örebro,4,-,3,OT,"0-0, 2-2, 1-1, 1-0",Gavlerinken Arena,4522
2016-11-22,Färjestad,Skellefteå,5,-,3,Reg,"3-0, 1-0, 1-3",Löfbergs Arena,4546
2016-11-22,Linköping,Rögle,5,-,2,Reg,"2-2, 0-0, 3-0",Saab Arena,4698
2016-11-22,Frölunda,Malmö,2,-,1,SO,"0-0, 0-0, 1-1, 0-0, 1-0",Scandinavium,9828
2016-11-22,Djurgården,Luleå,3,-,2,SO,"1-1, 1-1, 0-0, 0-0, 1-0",Hovet,6240
2016-11-19,Luleå,Örebro,2,-,0,Reg,"0-0, 1-0, 1-0",Coop Norrbotten Arena,4805
2016-11-19,Växjö,Skellefteå,4,-,0,Reg,"0-0, 0-0, 4-0",Vida Arena,4412
2016-11-19,Karlskrona,Leksand,0,-,2,Reg,"0-0, 0-1, 0-1",ABB Arena Karlskrona,4352
2016-11-19,Rögle,Färjestad,5,-,3,Reg,"3-0, 0-2, 2-1",Lindab Arena,3648
2016-11-19,Malmö,Djurgården,0,-,1,SO,"0-0, 0-0, 0-0, 0-0, 0-1",Malmö Arena,6786
2016-11-19,Frölunda,HV71,2,-,1,Reg,"0-0, 2-0, 0-1",Scandinavium,12044
2016-11-18,Leksand,Karlskrona,0,-,1,Reg,"0-0, 0-0, 0-1",Tegera Arena,5472
2016-11-18,Brynäs,Linköping,4,-,1,Reg,"3-0, 1-1, 0-0",Gavlerinken Arena,4576
2016-11-17,Skellefteå,HV71,1,-,0,OT,"0-0, 0-0, 0-0, 1-0",Skellefteå Kraft Arena,4227
2016-11-17,Örebro,Djurgården,3,-,0,Reg,"0-0, 1-0, 2-0",Behrn Arena,5225
2016-11-17,Rögle,Luleå,3,-,5,Reg,"0-0, 1-2, 2-3",Lindab Arena,3226
2016-11-17,Växjö,Malmö,2,-,1,Reg,"1-1, 1-0, 0-0",Vida Arena,4123
2016-11-17,Färjestad,Frölunda,3,-,4,OT,"1-0, 2-3, 0-0, 0-1",Löfbergs Arena,5842
2016-11-17,Linköping,Brynäs,2,-,1,Reg,"1-0, 1-0, 0-1",Saab Arena,5466
2016-11-15,Luleå,Växjö,4,-,2,Reg,"0-1, 3-1, 1-0",Coop Norrbotten Arena,3889
2016-11-15,Djurgården,Skellefteå,4,-,2,Reg,"0-0, 1-2, 3-0",Hovet,5869
2016-11-15,HV71,Färjestad,3,-,1,Reg,"1-0, 1-0, 1-1",Kinnarps Arena,6213
2016-11-15,Frölunda,Örebro,5,-,0,Reg,"3-0, 1-0, 1-0",Scandinavium,7956
2016-11-15,Linköping,Leksand,6,-,1,Reg,"2-0, 2-1, 2-0",Saab Arena,5008
2016-11-15,Karlskrona,Brynäs,1,-,2,Reg,"0-2, 1-0, 0-0",ABB Arena Karlskrona,3799
2016-11-14,Malmö,Rögle,2,-,1,Reg,"0-0, 0-0, 2-1",Malmö Arena,10628
2016-11-12,Skellefteå,Rögle,4,-,1,Reg,"1-0, 2-1, 1-0",Skellefteå Kraft Arena,4304
2016-11-12,Örebro,Linköping,3,-,4,OT,"2-0, 0-2, 1-1, 0-1",Behrn Arena,5500
2016-11-12,Brynäs,Djurgården,4,-,0,Reg,"1-0, 0-0, 3-0",Gavlerinken Arena,7158
2016-11-12,Växjö,HV71,3,-,4,SO,"1-0, 2-1, 0-2, 0-0, 0-1",Vida Arena,5663
2016-11-12,Leksand,Luleå,4,-,0,Reg,"1-0, 2-0, 1-0",Tegera Arena,5843
2016-11-12,Färjestad,Malmö,1,-,0,OT,"0-0, 0-0, 0-0, 1-0",Löfbergs Arena,5832
2016-11-12,Karlskrona,Frölunda,0,-,3,Reg,"0-1, 0-2, 0-0",ABB Arena Karlskrona,4647
2016-11-11,Rögle,Skellefteå,0,-,3,Reg,"0-2, 0-1, 0-0",Lindab Arena,3511
2016-11-11,HV71,Växjö,2,-,4,Reg,"0-2, 2-1, 0-1",Kinnarps Arena,6702
2016-11-10,Luleå,Malmö,0,-,5,Reg,"0-1, 0-1, 0-3",Coop Norrbotten Arena,4277
2016-11-10,Leksand,Brynäs,1,-,4,Reg,"0-1, 1-1, 0-2",Tegera Arena,7478
2016-11-10,Örebro,Karlskrona,1,-,0,SO,"0-0, 0-0, 0-0, 0-0, 1-0",Behrn Arena,5021
2016-11-10,Djurgården,Frölunda,4,-,3,Reg,"2-0, 0-2, 2-1",Hovet,5841
2016-11-10,Linköping,Färjestad,1,-,2,SO,"0-1, 1-0, 0-0, 0-0, 0-1",Saab Arena,4745
2016-10-30,Leksand,Färjestad,1,-,2,Reg,"0-0, 1-2, 0-0",Tegera Arena,6372
2016-10-29,Växjö,Örebro,4,-,2,Reg,"1-0, 2-1, 1-1",Vida Arena,4108
2016-10-29,Malmö,Karlskrona,1,-,3,Reg,"1-0, 0-0, 0-3",Malmö Arena,7464
2016-10-29,Luleå,Linköping,3,-,5,Reg,"1-1, 1-2, 1-2",Coop Norrbotten Arena,5726
2016-10-29,Färjestad,Leksand,5,-,3,Reg,"1-2, 2-1, 2-0",Löfbergs Arena,8098
2016-10-29,HV71,Brynäs,4,-,2,Reg,"2-1, 2-1, 0-0",Kinnarps Arena,6723
2016-10-29,Frölunda,Skellefteå,4,-,2,Reg,"1-0, 2-0, 1-2",Scandinavium,11716
2016-10-27,Skellefteå,Linköping,4,-,1,Reg,"1-0, 1-0, 2-1",Skellefteå Kraft Arena,4043
2016-10-27,Örebro,Luleå,3,-,2,Reg,"0-1, 2-1, 1-0",Behrn Arena,5165
2016-10-27,Djurgården,Rögle,0,-,4,Reg,"0-0, 0-3, 0-1",Hovet,5304
2016-10-27,Karlskrona,Frölunda,2,-,1,Reg,"0-1, 2-0, 0-0",ABB Arena Karlskrona,4121
2016-10-27,Malmö,Växjö,0,-,3,Reg,"0-1, 0-2, 0-0",Malmö Arena,6529
2016-10-27,Brynäs,HV71,5,-,3,Reg,"1-2, 3-1, 1-0",Gavlerinken Arena,5372
2016-10-25,HV71,Leksand,5,-,2,Reg,"1-0, 2-2, 2-0",Kinnarps Arena,6135
2016-10-25,Luleå,Karlskrona,1,-,2,Reg,"0-0, 1-1, 0-1",Coop Norrbotten Arena,4558
2016-10-25,Växjö,Djurgården,5,-,3,Reg,"2-1, 1-1, 2-1",Vida Arena,4250
2016-10-25,Linköping,Örebro,1,-,3,Reg,"0-1, 0-1, 1-1",Saab Arena,4213
2016-10-25,Frölunda,Malmö,3,-,1,Reg,"1-0, 1-1, 1-0",Scandinavium,8953
2016-10-25,Färjestad,Brynäs,1,-,5,Reg,"1-0, 0-0, 0-5",Löfbergs Arena,4617
2016-10-24,Rögle,Skellefteå,3,-,2,Reg,"0-0, 2-1, 1-1",Lindab Arena,3235
2016-10-23,Luleå,HV71,3,-,1,Reg,"0-0, 1-0, 2-1",Coop Norrbotten Arena,4245
2016-10-22,Brynäs,Malmö,3,-,5,Reg,"1-1, 2-2, 0-2",Gavlerinken Arena,5084
2016-10-22,Färjestad,Växjö,4,-,1,Reg,"2-0, 1-1, 1-0",Löfbergs Arena,5886
2016-10-22,Linköping,Djurgården,2,-,1,Reg,"1-0, 1-0, 0-1",Saab Arena,5984
2016-10-22,Skellefteå,Frölunda,2,-,3,Reg,"1-0, 0-2, 1-1",Skellefteå Kraft Arena,5109
2016-10-22,Leksand,Rögle,0,-,2,Reg,"0-1, 0-0, 0-1",Tegera Arena,5567
2016-10-22,Örebro,Karlskrona,1,-,3,Reg,"0-1, 0-2, 1-0",Behrn Arena,5278
2016-10-21,Djurgården,Linköping,4,-,5,Reg,"2-0, 1-3, 1-2",Hovet,6334
2016-10-21,Växjö,Färjestad,1,-,3,Reg,"0-0, 1-2, 0-1",Vida Arena,4669
2016-10-20,Skellefteå,Örebro,4,-,1,Reg,"0-1, 3-0, 1-0",Skellefteå Kraft Arena,3818
2016-10-20,Rögle,Luleå,2,-,3,SO,"1-1, 1-0, 0-1, 0-0, 0-1",Lindab Arena,3202
2016-10-20,Karlskrona,Brynäs,4,-,2,Reg,"1-1, 2-1, 1-0",ABB Arena Karlskrona,3607
2016-10-20,Frölunda,Leksand,5,-,1,Reg,"1-0, 4-0, 0-1",Scandinavium,8967
2016-10-19,Färjestad,Djurgården,3,-,2,SO,"1-1, 1-1, 0-0, 0-0, 1-0",Löfbergs Arena,5150
2016-10-19,Linköping,Växjö,2,-,5,Reg,"1-2, 1-2, 0-1",Saab Arena,4934
2016-10-18,Luleå,Malmö,4,-,2,Reg,"3-0, 0-1, 1-1",Coop Norrbotten Arena,4793
2016-10-18,Leksand,Skellefteå,1,-,6,Reg,"0-1, 0-3, 1-2",Tegera Arena,5012
2016-10-18,Örebro,Frölunda,2,-,4,Reg,"1-2, 0-0, 1-2",Behrn Arena,5426
2016-10-18,Brynäs,Rögle,4,-,3,Reg,"1-2, 1-1, 2-0",Gavlerinken Arena,3813
2016-10-18,HV71,Karlskrona,4,-,1,Reg,"1-0, 0-1, 3-0",Kinnarps Arena,6132
2016-10-15,Luleå,Färjestad,1,-,3,Reg,"1-2, 0-1, 0-0",Coop Norrbotten Arena,4734
2016-10-15,Karlskrona,Skellefteå,1,-,2,Reg,"0-0, 0-0, 1-2",ABB Arena Karlskrona,4685
2016-10-15,Djurgården,Örebro,0,-,3,Reg,"0-1, 0-1, 0-1",Hovet,6125
2016-10-15,Rögle,HV71,1,-,4,Reg,"0-2, 1-1, 0-1",Lindab Arena,3551
2016-10-15,Växjö,Brynäs,1,-,2,Reg,"0-0, 0-1, 1-1",Vida Arena,4990
2016-10-15,Frölunda,Linköping,2,-,3,Reg,"0-0, 1-1, 1-2",Scandinavium,9397
2016-10-13,Skellefteå,Färjestad,0,-,5,Reg,"0-1, 0-1, 0-3",Skellefteå Kraft Arena,5614
2016-10-13,Brynäs,Leksand,1,-,3,Reg,"0-0, 1-0, 0-3",Gavlerinken Arena,7909
2016-10-13,Djurgården,Luleå,3,-,4,SO,"1-1, 0-0, 2-2, 0-0, 0-1",Hovet,6103
2016-10-13,Linköping,Malmö,3,-,5,Reg,"0-2, 3-1, 0-2",Saab Arena,4963
2016-10-13,HV71,Örebro,3,-,5,Reg,"2-0, 1-4, 0-1",Kinnarps Arena,5913
2016-10-13,Frölunda,Rögle,2,-,1,Reg,"0-0, 0-0, 2-1",Scandinavium,7785
2016-10-12,Växjö,Karlskrona,2,-,3,SO,"2-0, 0-2, 0-0, 0-0, 0-1",Vida Arena,4216
2016-10-08,Skellefteå,Brynäs,1,-,2,Reg,"0-0, 1-2, 0-0",Skellefteå Kraft Arena,4245
2016-10-08,Örebro,Malmö,5,-,4,Reg,"3-1, 2-1, 0-2",Behrn Arena,5301
2016-10-08,Rögle,Karlskrona,2,-,4,Reg,"0-1, 1-2, 1-1",Lindab Arena,3891
2016-10-08,Färjestad,Frölunda,2,-,1,OT,"0-0, 0-0, 1-1, 1-0",Löfbergs Arena,7162
2016-10-08,HV71,Djurgården,5,-,1,Reg,"2-0, 1-1, 2-0",Kinnarps Arena,6809
2016-10-07,Karlskrona,Rögle,4,-,1,Reg,"2-1, 1-0, 1-0",ABB Arena Karlskrona,3969
2016-10-07,Malmö,Örebro,1,-,0,SO,"0-0, 0-0, 0-0, 0-0, 1-0",Malmö Arena,6369
2016-10-06,Brynäs,Luleå,5,-,2,Reg,"1-1, 1-1, 3-0",Gavlerinken Arena,3917
2016-10-06,Djurgården,Skellefteå,2,-,1,Reg,"2-0, 0-1, 0-0",Ericsson Globe,7739
2016-10-06,Färjestad,HV71,1,-,4,Reg,"1-2, 0-0, 0-2",Löfbergs Arena,4756
2016-10-06,Linköping,Leksand,2,-,1,OT,"0-0, 1-0, 0-1, 1-0",Saab Arena,5170
2016-10-06,Frölunda,Växjö,3,-,1,Reg,"1-0, 2-0, 0-1",Scandinavium,6463
2016-10-04,Malmö,Leksand,5,-,1,Reg,"2-0, 2-0, 1-1",Malmö Arena,6995
2016-10-02,Frölunda,Djurgården,4,-,1,Reg,"0-0, 1-1, 3-0",Scandinavium,6816
2016-10-01,Leksand,Örebro,2,-,3,OT,"1-0, 1-1, 0-1, 0-1",Tegera Arena,5874
2016-10-01,Växjö,Luleå,1,-,3,Reg,"0-1, 0-2, 1-0",Vida Arena,5126
2016-10-01,Brynäs,Linköping,1,-,2,Reg,"1-1, 0-0, 0-1",Gavlerinken Arena,4517
2016-10-01,HV71,Skellefteå,7,-,1,Reg,"4-0, 0-0, 3-1",Kinnarps Arena,5983
2016-10-01,Karlskrona,Färjestad,5,-,2,Reg,"1-0, 4-1, 0-1",ABB Arena Karlskrona,4046
2016-10-01,Rögle,Malmö,6,-,7,Reg,"3-3, 1-3, 2-1",Lindab Arena,5051
2016-09-29,Luleå,Leksand,5,-,1,Reg,"3-1, 2-0, 0-0",Coop Norrbotten Arena,4468
2016-09-29,Skellefteå,Växjö,3,-,2,OT,"1-1, 0-0, 1-1, 1-0",Skellefteå Kraft Arena,4009
2016-09-29,Örebro,Brynäs,3,-,5,Reg,"1-2, 2-2, 0-1",Behrn Arena,5500
2016-09-29,Rögle,Linköping,3,-,2,OT,"1-2, 0-0, 1-0, 1-0",Lindab Arena,3553
2016-09-29,Färjestad,Malmö,2,-,4,Reg,"0-4, 2-0, 0-0",Löfbergs Arena,5058
2016-09-29,HV71,Frölunda,2,-,3,Reg,"1-0, 1-1, 0-2",Kinnarps Arena,6407
2016-09-28,Djurgården,Karlskrona,0,-,4,Reg,"0-0, 0-4, 0-0",Hovet,5258
2016-09-27,Växjö,Leksand,4,-,1,Reg,"1-0, 1-1, 2-0",Vida Arena,4108
2016-09-25,Linköping,Färjestad,3,-,4,OT,"1-0, 2-2, 0-1, 0-1",Saab Arena,7040
2016-09-24,Skellefteå,Luleå,3,-,2,Reg,"1-0, 1-1, 1-1",Skellefteå Kraft Arena,5800
2016-09-24,Örebro,Rögle,3,-,4,Reg,"2-1, 1-1, 0-2",Behrn Arena,5420
2016-09-24,Växjö,HV71,4,-,3,OT,"2-1, 0-2, 1-0, 1-0",Vida Arena,5750
2016-09-24,Frölunda,Brynäs,3,-,1,Reg,"0-1, 1-0, 2-0",Scandinavium,10046
2016-09-24,Djurgården,Malmö,1,-,2,Reg,"0-1, 1-1, 0-0",Hovet,7659
2016-09-24,Karlskrona,Leksand,3,-,1,Reg,"0-0, 2-0, 1-1",ABB Arena Karlskrona,5050
2016-09-23,Luleå,Skellefteå,1,-,2,SO,"0-0, 1-1, 0-0, 0-0, 0-1",Coop Norrbotten Arena,6300
2016-09-23,Brynäs,Frölunda,7,-,2,Reg,"1-0, 4-1, 2-1",Gavlerinken Arena,7132
2016-09-22,Leksand,Djurgården,2,-,5,Reg,"0-1, 2-3, 0-1",Tegera Arena,7650
2016-09-22,Rögle,Växjö,3,-,5,Reg,"0-1, 3-2, 0-2",Lindab Arena,4556
2016-09-21,Linköping,HV71,1,-,3,Reg,"0-1, 1-1, 0-1",Saab Arena,5620
2016-09-21,Malmö,Karlskrona,3,-,0,Reg,"1-0, 1-0, 1-0",Malmö Arena,5274
2016-09-17,Luleå,Linköping,4,-,0,Reg,"3-0, 0-0, 1-0",Coop Norrbotten Arena,5450
2016-09-17,Färjestad,Örebro,2,-,1,Reg,"0-1, 1-0, 1-0",Löfbergs Arena,8500
2016-09-17,Malmö,Frölunda,3,-,2,Reg,"0-0, 3-0, 0-2",Malmö Arena,8170